mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
1,Fall 2019,Orange,Orange Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Oak Grove,place-ogmnl,27220,0,12,2268,0,2268,5012
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Green Street,place-grnst,14330,2051,77,186,27,1937,5013
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Malden Center,place-mlmnl,1567,97137,77,20,1262,421,5014
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Haymarket,place-haecl,7608,19467,77,99,253,1465,5015
1,Fall 2019,Orange,Orange Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Roxbury Crossing,place-rcmnl,2830,8472,12,236,706,5423,5016
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Jackson Square,place-jaksn,29634,1843,77,385,24,2483,5017
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,North Station,place-north,41079,95704,77,533,1243,4996,5018
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Massachusetts Ave.,place-masta,9247,11894,77,120,154,2426,5019
1,Fall 2019,Orange,Orange Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Ruggles,place-rugg,5662,53145,12,472,4429,5893,5020
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Oak Grove,place-ogmnl,0,32454,77,0,421,0,5021
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Malden Center,place-mlmnl,154,13370,77,2,174,50,5022
1,Fall 2019,Orange,Orange Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Stony Brook,place-sbmnl,736,10641,12,61,887,3614,5024
1,Fall 2019,Orange,Orange Line,1,day_type_01,weekday,time_period_02,EARLY_AM,North Station,place-north,6707,31492,77,87,409,1143,5025
